unit_number,time_in_cycles,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,RUL
56,111,0.0004,0.0002,100.0,518.67,642.62,1587.73,1411.4,14.62,21.61,552.43,2388.07,9049.92,1.3,47.57,521.2,2388.15,8133.93,8.4491,0.03,393,2388,100.0,38.69,23.3592,164
88,96,-0.0024,-0.0004,100.0,518.67,642.18,1592.04,1405.2,14.62,21.61,554.36,2388.04,9073.22,1.3,47.54,521.59,2388.01,8150.08,8.4326,0.03,393,2388,100.0,38.9,23.3556,117
83,98,0.0006,-0.0004,100.0,518.67,642.38,1587.34,1396.74,14.62,21.61,554.19,2387.97,9050.81,1.3,47.27,522.42,2388.01,8138.53,8.3954,0.03,391,2388,100.0,38.92,23.4531,195
20,136,-0.0015,-0.0005,100.0,518.67,642.65,1597.03,1410.97,14.62,21.61,552.89,2388.11,9065.56,1.3,47.59,521.31,2388.14,8137.22,8.4641,0.03,395,2388,100.0,38.93,23.3832,98
26,8,-0.0001,-0.0001,100.0,518.67,642.94,1586.14,1412.11,14.62,21.61,552.92,2388.15,9045.97,1.3,47.63,521.24,2388.18,8126.07,8.4106,0.03,392,2388,100.0,38.8,23.279,191
18,88,-0.0004,0.0,100.0,518.67,641.84,1589.77,1401.22,14.62,21.61,554.32,2388.04,9066.53,1.3,47.15,522.07,2388.05,8149.67,8.4509,0.03,393,2388,100.0,39.04,23.3098,107
94,220,0.0012,0.0004,100.0,518.67,642.8,1591.17,1421.27,14.62,21.61,552.52,2388.16,9095.01,1.3,47.93,520.26,2388.22,8170.13,8.519,0.03,395,2388,100.0,38.66,23.1685,38
88,169,-0.0,0.0001,100.0,518.67,642.8,1594.09,1415.45,14.62,21.61,553.3,2388.06,9098.61,1.3,47.71,521.44,2388.07,8166.34,8.457,0.03,393,2388,100.0,38.85,23.1559,44
66,78,-0.0004,-0.0,100.0,518.67,642.6,1591.0,1414.81,14.62,21.61,553.62,2388.12,9056.67,1.3,47.49,521.19,2388.1,8135.0,8.4339,0.03,394,2388,100.0,38.95,23.2255,124
90,28,-0.0023,0.0006,100.0,518.67,642.91,1593.32,1395.81,14.62,21.61,555.02,2388.04,9057.35,1.3,47.23,522.45,2388.05,8146.55,8.4442,0.03,392,2388,100.0,39.17,23.4003,126
32,59,0.0007,0.0002,100.0,518.67,643.0,1597.01,1412.37,14.62,21.61,552.59,2388.13,9054.4,1.3,47.64,521.56,2388.14,8133.15,8.4677,0.03,393,2388,100.0,38.99,23.3316,132
65,135,0.0019,0.0005,100.0,518.67,643.56,1591.97,1418.04,14.62,21.61,551.92,2388.16,9049.49,1.3,47.98,520.83,2388.21,8126.1,8.4868,0.03,395,2388,100.0,38.6,23.223,18
52,121,-0.0,0.0003,100.0,518.67,643.11,1594.33,1417.67,14.62,21.61,553.44,2388.12,9056.15,1.3,47.64,521.07,2388.12,8130.16,8.4469,0.03,394,2388,100.0,38.72,23.2883,92
54,223,-0.0007,-0.0001,100.0,518.67,642.91,1596.45,1411.03,14.62,21.61,553.37,2388.1,9111.82,1.3,47.78,521.24,2388.13,8182.99,8.4706,0.03,396,2388,100.0,38.79,23.2558,34
11,184,0.0022,-0.0001,100.0,518.67,642.91,1595.5,1419.01,14.62,21.61,552.96,2388.06,9089.0,1.3,47.79,521.75,2388.08,8163.45,8.4274,0.03,392,2388,100.0,38.83,23.3222,56
56,92,0.0038,-0.0,100.0,518.67,643.09,1588.19,1407.95,14.62,21.61,553.14,2388.05,9058.91,1.3,47.46,521.62,2388.11,8136.97,8.4363,0.03,394,2388,100.0,38.8,23.3249,183
12,33,-0.0009,-0.0,100.0,518.67,642.41,1589.35,1406.3,14.62,21.61,553.1,2388.06,9044.7,1.3,47.51,521.33,2388.08,8123.56,8.4577,0.03,393,2388,100.0,38.94,23.3029,137
13,26,-0.001,0.0003,100.0,518.67,642.19,1586.42,1402.94,14.62,21.61,553.7,2388.1,9063.15,1.3,47.58,521.49,2388.11,8133.23,8.4346,0.03,391,2388,100.0,38.83,23.3003,137
25,220,-0.0008,0.0,100.0,518.67,643.35,1601.93,1425.47,14.62,21.61,551.49,2388.15,9125.1,1.3,47.98,519.78,2388.21,8191.87,8.5385,0.03,396,2388,100.0,38.53,23.0558,10
87,145,-0.0028,0.0005,100.0,518.67,643.22,1595.12,1424.86,14.62,21.61,552.26,2388.17,9059.1,1.3,47.69,520.87,2388.18,8129.45,8.4852,0.03,393,2388,100.0,38.74,23.1952,33
83,97,-0.0009,0.0003,100.0,518.67,642.55,1584.9,1393.5,14.62,21.6,554.5,2388.03,9058.39,1.3,47.17,522.43,2388.01,8136.57,8.4124,0.03,393,2388,100.0,38.82,23.4637,196
82,185,0.0032,-0.0004,100.0,518.67,642.93,1598.06,1400.51,14.62,21.61,552.85,2388.1,9121.4,1.3,47.66,521.77,2388.02,8197.65,8.4286,0.03,392,2388,100.0,38.64,23.3238,29
56,199,0.0047,-0.0003,100.0,518.67,643.0,1592.82,1416.02,14.62,21.61,552.57,2388.13,9074.41,1.3,47.81,521.28,2388.1,8160.42,8.4731,0.03,393,2388,100.0,38.84,23.1636,76
14,44,-0.002,0.0003,100.0,518.67,642.94,1589.81,1406.23,14.62,21.61,553.71,2388.1,9063.14,1.3,47.49,521.25,2388.11,8138.57,8.4431,0.03,392,2388,100.0,38.89,23.2996,136
89,107,-0.0018,0.0004,100.0,518.67,642.21,1590.34,1392.21,14.62,21.61,553.72,2388.05,9048.5,1.3,47.43,522.05,2388.02,8134.41,8.3985,0.03,394,2388,100.0,39.07,23.4121,110
26,106,0.0008,0.0003,100.0,518.67,643.27,1589.35,1406.73,14.62,21.61,552.97,2388.07,9054.08,1.3,47.65,521.33,2388.16,8136.79,8.4427,0.03,392,2388,100.0,38.79,23.2433,93
47,152,-0.0029,0.0,100.0,518.67,642.14,1591.49,1401.36,14.62,21.61,553.87,2388.09,9074.22,1.3,47.47,521.46,2388.1,8158.18,8.4696,0.03,393,2388,100.0,38.96,23.2933,62
100,189,0.0015,0.0001,100.0,518.67,643.69,1599.85,1423.15,14.62,21.61,551.61,2388.18,9069.69,1.3,47.99,519.5,2388.24,8139.78,8.487,0.03,397,2388,100.0,38.65,23.0591,11
86,98,-0.0003,0.0004,100.0,518.67,642.84,1584.06,1405.74,14.62,21.61,553.1,2388.09,9054.2,1.3,47.49,521.46,2388.08,8141.72,8.427,0.03,392,2388,100.0,39.05,23.299,180
72,157,0.0025,0.0,100.0,518.67,642.73,1588.79,1402.24,14.62,21.61,552.81,2388.18,9042.94,1.3,47.83,520.92,2388.18,8121.28,8.44,0.03,394,2388,100.0,38.66,23.2466,56
68,159,-0.0012,-0.0003,100.0,518.67,643.21,1596.99,1408.98,14.62,21.61,553.17,2388.11,9095.43,1.3,47.66,521.08,2388.13,8172.02,8.4716,0.03,394,2388,100.0,38.73,23.3332,40
7,190,0.0006,-0.0003,100.0,518.67,642.69,1587.13,1415.28,14.62,21.61,553.74,2388.1,9068.88,1.3,47.58,521.61,2388.07,8152.4,8.4669,0.03,394,2388,100.0,38.96,23.257,69
7,124,-0.0007,-0.0,100.0,518.67,642.25,1592.99,1408.2,14.62,21.61,553.23,2388.04,9072.88,1.3,47.42,521.63,2388.02,8149.35,8.4018,0.03,392,2388,100.0,38.92,23.3578,135
45,58,-0.0002,-0.0002,100.0,518.67,642.46,1576.54,1406.97,14.62,21.61,553.94,2388.0,9065.63,1.3,47.31,521.87,2387.95,8149.03,8.4252,0.03,392,2388,100.0,39.1,23.4298,100
99,50,-0.0023,-0.0004,100.0,518.67,641.88,1591.72,1400.68,14.62,21.61,554.5,2388.11,9054.98,1.3,47.44,522.24,2388.06,8135.54,8.4188,0.03,391,2388,100.0,38.88,23.3519,135
44,115,-0.0033,-0.0001,100.0,518.67,642.6,1591.42,1408.59,14.62,21.61,553.49,2388.02,9070.93,1.3,47.38,522.13,2388.02,8148.99,8.4559,0.03,392,2388,100.0,38.8,23.4512,77
13,142,0.0004,-0.0002,100.0,518.67,643.32,1595.55,1424.19,14.62,21.61,552.29,2388.11,9107.28,1.3,47.78,520.54,2388.1,8179.36,8.4915,0.03,395,2388,100.0,38.64,23.1678,21
24,12,-0.0035,-0.0003,100.0,518.67,642.61,1589.01,1395.95,14.62,21.61,554.08,2388.04,9070.02,1.3,47.23,522.46,2388.01,8148.23,8.4139,0.03,392,2388,100.0,38.85,23.4507,135
18,9,0.0044,0.0005,100.0,518.67,641.96,1588.77,1401.73,14.62,21.61,554.35,2388.01,9060.59,1.3,47.19,522.31,2388.01,8138.58,8.4192,0.03,392,2388,100.0,38.98,23.4342,186
22,158,-0.0002,0.0005,100.0,518.67,643.22,1593.07,1415.83,14.62,21.61,551.98,2388.22,9047.53,1.3,48.08,520.21,2388.2,8129.73,8.4849,0.03,393,2388,100.0,38.74,23.3006,44
12,30,-0.0016,-0.0003,100.0,518.67,642.86,1594.49,1400.58,14.62,21.61,553.52,2388.15,9048.31,1.3,47.4,521.62,2388.12,8133.57,8.4577,0.03,393,2388,100.0,38.9,23.2759,140
98,45,0.0025,0.0003,100.0,518.67,642.04,1583.26,1402.79,14.62,21.61,554.24,2387.97,9074.64,1.3,47.12,522.11,2388.04,8151.01,8.4072,0.03,392,2388,100.0,38.94,23.3934,111
11,79,-0.0011,0.0004,100.0,518.67,642.36,1582.83,1396.23,14.62,21.61,553.95,2388.02,9054.08,1.3,47.14,521.93,2388.07,8138.6,8.425,0.03,392,2388,100.0,38.98,23.3147,161
85,49,0.0002,0.0001,100.0,518.67,642.44,1594.21,1407.72,14.62,21.61,553.94,2388.1,9052.31,1.3,47.44,521.53,2388.12,8130.67,8.4278,0.03,393,2388,100.0,38.85,23.3197,139
53,167,0.0024,-0.0003,100.0,518.67,643.1,1595.83,1422.17,14.62,21.61,553.34,2388.12,9109.39,1.3,47.78,520.73,2388.09,8182.89,8.4432,0.03,393,2388,100.0,38.6,23.1481,28
7,130,0.0008,-0.0,100.0,518.67,642.08,1580.49,1406.97,14.62,21.61,554.12,2387.96,9070.22,1.3,47.24,521.91,2388.01,8148.93,8.3917,0.03,392,2388,100.0,38.93,23.3635,129
42,88,-0.0012,-0.0003,100.0,518.67,642.84,1587.33,1404.17,14.62,21.61,553.71,2388.06,9053.9,1.3,47.38,521.86,2388.09,8139.85,8.3969,0.03,394,2388,100.0,39.03,23.3101,108
21,170,0.001,0.0,100.0,518.67,643.36,1593.53,1414.34,14.62,21.61,552.37,2388.14,9100.01,1.3,47.92,520.15,2388.17,8182.63,8.467,0.03,394,2388,100.0,38.68,23.1021,25
74,113,-0.0039,0.0002,100.0,518.67,642.83,1596.96,1403.74,14.62,21.61,552.95,2388.12,9061.24,1.3,47.47,521.69,2388.14,8139.55,8.44,0.03,393,2388,100.0,38.79,23.238,53
43,94,0.0029,-0.0003,100.0,518.67,642.09,1588.54,1403.83,14.62,21.61,554.7,2388.06,9048.29,1.3,47.26,521.71,2388.08,8134.98,8.4109,0.03,392,2388,100.0,39.0,23.2943,113
92,206,-0.0021,-0.0,100.0,518.67,643.32,1590.82,1409.96,14.62,21.61,553.21,2388.03,9070.58,1.3,47.41,521.58,2388.09,8143.98,8.4261,0.03,394,2388,100.0,38.72,23.2385,135
43,1,-0.0007,-0.0004,100.0,518.67,642.56,1579.64,1392.51,14.62,21.61,554.3,2387.98,9056.32,1.3,47.08,522.02,2388.04,8139.17,8.3782,0.03,393,2388,100.0,38.84,23.3701,206
7,172,-0.0019,-0.0003,100.0,518.67,642.92,1595.4,1406.01,14.62,21.61,553.69,2388.06,9081.88,1.3,47.62,521.78,2388.1,8153.61,8.445,0.03,393,2388,100.0,38.76,23.3599,87
100,11,-0.0011,-0.0005,100.0,518.67,642.38,1587.75,1403.69,14.62,21.61,553.43,2388.02,9062.92,1.3,47.46,522.23,2388.02,8146.18,8.3973,0.03,393,2388,100.0,39.04,23.4191,189
46,81,0.0026,-0.0004,100.0,518.67,642.45,1583.75,1407.25,14.62,21.61,554.8,2388.07,9056.13,1.3,47.16,522.53,2388.05,8134.27,8.4213,0.03,392,2388,100.0,39.03,23.3395,175
55,109,0.0015,-0.0001,100.0,518.67,642.33,1584.97,1409.02,14.62,21.61,553.48,2388.07,9063.96,1.3,47.49,521.4,2388.09,8144.31,8.4535,0.03,393,2388,100.0,38.83,23.3957,84
2,150,-0.0021,0.0004,100.0,518.67,642.62,1585.43,1393.74,14.62,21.61,554.13,2388.01,9056.95,1.3,47.15,522.22,2388.02,8138.55,8.4175,0.03,391,2388,100.0,39.03,23.2996,137
83,149,-0.0007,-0.0003,100.0,518.67,642.55,1582.62,1402.31,14.62,21.61,553.42,2388.05,9063.8,1.3,47.43,522.01,2388.05,8135.96,8.3751,0.03,394,2388,100.0,38.9,23.3295,144
69,2,-0.0003,-0.0004,100.0,518.67,641.5,1594.24,1401.54,14.62,21.61,554.22,2388.04,9057.57,1.3,47.26,522.08,2388.08,8139.88,8.4172,0.03,392,2388,100.0,39.02,23.4189,360
18,123,-0.0019,-0.0002,100.0,518.67,642.57,1582.27,1394.88,14.62,21.61,554.33,2388.02,9079.59,1.3,47.37,522.52,2388.0,8156.98,8.4051,0.03,391,2388,100.0,38.92,23.3722,72
100,139,-0.0017,0.0002,100.0,518.67,642.86,1596.71,1408.67,14.62,21.61,552.64,2388.1,9064.89,1.3,47.62,521.29,2388.12,8137.65,8.439,0.03,394,2388,100.0,38.85,23.3012,61
3,85,0.0043,-0.0001,100.0,518.67,641.95,1587.14,1414.11,14.62,21.61,554.09,2388.01,9067.15,1.3,47.25,521.84,2388.07,8144.64,8.3949,0.03,391,2388,100.0,38.87,23.314,94
69,182,0.0009,-0.0004,100.0,518.67,642.4,1589.78,1407.05,14.62,21.61,553.12,2388.08,9060.83,1.3,47.29,522.14,2388.07,8133.93,8.4335,0.03,393,2388,100.0,39.03,23.3038,180
95,128,0.0012,0.0001,100.0,518.67,642.12,1588.53,1405.04,14.62,21.61,554.3,2388.05,9064.85,1.3,47.36,522.15,2387.96,8152.31,8.4027,0.03,391,2388,100.0,39.02,23.3738,155
82,174,0.0015,-0.0004,100.0,518.67,643.56,1595.78,1407.61,14.62,21.61,553.92,2388.05,9115.93,1.3,47.6,521.18,2388.03,8188.23,8.4469,0.03,394,2388,100.0,39.03,23.2962,40
15,123,0.0002,-0.0002,100.0,518.67,642.17,1582.85,1408.4,14.62,21.61,554.05,2388.08,9063.35,1.3,47.27,521.77,2388.02,8142.79,8.4253,0.03,393,2388,100.0,38.85,23.3931,84
18,43,-0.0016,0.0002,100.0,518.67,641.34,1584.5,1396.26,14.62,21.61,553.72,2388.03,9055.69,1.3,47.02,522.43,2388.08,8139.6,8.4054,0.03,393,2388,100.0,39.09,23.3709,152
17,194,-0.0012,0.0001,100.0,518.67,643.07,1587.51,1410.3,14.62,21.61,552.51,2388.02,9086.64,1.3,47.64,521.8,2388.07,8159.0,8.4261,0.03,392,2388,100.0,39.0,23.2493,82
11,54,-0.0006,-0.0005,100.0,518.67,642.36,1589.87,1394.84,14.62,21.61,554.59,2388.03,9054.95,1.3,47.23,522.0,2387.99,8142.01,8.4052,0.03,391,2388,100.0,39.02,23.4614,186
41,195,-0.0031,-0.0004,100.0,518.67,642.35,1596.48,1421.22,14.62,21.61,552.62,2388.08,9125.32,1.3,47.82,520.57,2388.11,8193.8,8.5162,0.03,394,2388,100.0,38.48,23.1055,21
51,211,0.0008,-0.0005,100.0,518.67,643.68,1609.75,1419.91,14.62,21.61,552.63,2388.32,9219.81,1.3,48.27,520.24,2388.29,8279.86,8.5275,0.03,398,2388,100.0,38.43,23.0668,2
4,155,0.0022,0.0001,100.0,518.67,643.05,1591.94,1406.1,14.62,21.61,552.85,2388.11,9109.24,1.3,47.84,520.72,2388.07,8172.07,8.4545,0.03,395,2388,100.0,38.74,23.2332,34
44,102,0.0024,-0.0004,100.0,518.67,642.83,1593.85,1397.22,14.62,21.61,553.67,2388.11,9076.48,1.3,47.47,522.02,2388.06,8151.48,8.4278,0.03,393,2388,100.0,38.86,23.3845,90
74,117,-0.0012,0.0004,100.0,518.67,642.53,1584.49,1409.75,14.62,21.61,553.24,2388.12,9068.55,1.3,47.53,521.03,2388.13,8145.27,8.4948,0.03,393,2388,100.0,38.87,23.1815,49
52,91,0.0009,0.0,100.0,518.67,642.41,1587.71,1405.17,14.62,21.61,553.19,2388.08,9044.87,1.3,47.7,521.56,2388.12,8129.8,8.4508,0.03,392,2388,100.0,38.79,23.2277,122
3,60,0.0011,0.0003,100.0,518.67,641.8,1586.82,1405.66,14.62,21.61,553.34,2388.05,9051.65,1.3,47.47,522.23,2388.05,8136.68,8.4616,0.03,394,2388,100.0,38.94,23.2905,119
14,6,-0.0016,0.0003,100.0,518.67,642.42,1588.53,1406.54,14.62,21.61,553.79,2388.14,9059.66,1.3,47.27,521.66,2388.09,8147.72,8.4172,0.03,394,2388,100.0,38.91,23.3354,174
64,7,-0.0022,-0.0,100.0,518.67,642.67,1588.0,1402.33,14.62,21.61,554.02,2388.09,9053.91,1.3,47.42,522.39,2388.03,8134.71,8.4504,0.03,393,2388,100.0,38.68,23.3219,276
47,18,0.0026,-0.0005,100.0,518.67,642.56,1585.06,1400.7,14.62,21.61,554.32,2387.9,9064.85,1.3,47.05,522.78,2387.95,8149.09,8.4005,0.03,392,2388,100.0,39.02,23.495,196
36,130,0.0051,-0.0,100.0,518.67,643.31,1596.54,1414.89,14.62,21.61,551.77,2388.19,9064.11,1.3,47.82,520.62,2388.18,8135.43,8.4552,0.03,396,2388,100.0,38.72,23.2613,28
58,38,0.0016,0.0002,100.0,518.67,642.59,1586.97,1404.17,14.62,21.61,554.53,2388.0,9066.04,1.3,47.52,521.89,2387.99,8143.47,8.4355,0.03,392,2388,100.0,38.74,23.376,109
29,103,0.0016,0.0001,100.0,518.67,642.32,1593.7,1411.8,14.62,21.61,553.04,2388.06,9058.48,1.3,47.48,521.77,2388.1,8135.18,8.4196,0.03,392,2388,100.0,38.88,23.3564,60
84,204,0.0014,0.0003,100.0,518.67,643.59,1603.34,1415.29,14.62,21.61,552.43,2388.19,9056.9,1.3,47.91,521.33,2388.21,8137.1,8.4884,0.03,394,2388,100.0,38.64,23.2838,63
68,187,-0.001,0.0004,100.0,518.67,643.94,1608.22,1420.22,14.62,21.61,551.99,2388.16,9143.25,1.3,47.9,520.9,2388.1,8207.12,8.4587,0.03,394,2388,100.0,38.46,23.0604,12
15,49,0.0007,-0.0005,100.0,518.67,641.74,1584.85,1395.15,14.62,21.61,555.46,2388.0,9062.59,1.3,47.34,521.98,2388.02,8140.04,8.4285,0.03,392,2388,100.0,38.87,23.4577,158
95,64,-0.0013,0.0,100.0,518.67,642.11,1585.01,1392.21,14.62,21.6,555.06,2387.97,9077.08,1.3,47.08,522.29,2388.0,8155.2,8.3834,0.03,391,2388,100.0,39.05,23.456,219
32,164,0.0002,-0.0003,100.0,518.67,643.25,1600.47,1416.92,14.62,21.61,552.09,2388.23,9079.07,1.3,47.99,520.61,2388.17,8144.57,8.5228,0.03,395,2388,100.0,38.71,23.2542,27
67,185,-0.0006,0.0003,100.0,518.67,643.57,1586.31,1407.38,14.62,21.61,553.34,2388.13,9069.65,1.3,47.72,521.0,2388.12,8144.58,8.4317,0.03,395,2388,100.0,38.76,23.1788,128
75,124,0.0036,0.0001,100.0,518.67,643.13,1595.5,1403.72,14.62,21.61,553.38,2388.16,9043.27,1.3,47.55,520.8,2388.13,8124.41,8.4603,0.03,393,2388,100.0,38.87,23.3049,105
52,105,0.0017,0.0001,100.0,518.67,642.36,1591.98,1410.27,14.62,21.61,553.48,2388.1,9059.28,1.3,47.51,521.48,2388.13,8133.36,8.4292,0.03,391,2388,100.0,38.93,23.2901,108
23,66,0.0011,0.0002,100.0,518.67,642.73,1581.98,1411.95,14.62,21.61,552.87,2388.1,9055.96,1.3,47.63,521.57,2388.07,8134.26,8.4369,0.03,394,2388,100.0,39.04,23.2346,102
40,48,0.0007,-0.0001,100.0,518.67,642.64,1594.51,1415.7,14.62,21.61,553.28,2388.12,9066.92,1.3,47.71,521.68,2388.19,8134.43,8.4731,0.03,394,2388,100.0,38.69,23.2099,140
45,49,-0.001,-0.0,100.0,518.67,642.18,1580.0,1403.24,14.62,21.61,553.76,2388.02,9062.9,1.3,47.24,522.28,2388.06,8149.36,8.4343,0.03,391,2388,100.0,38.91,23.4004,109
93,69,-0.0021,-0.0001,100.0,518.67,642.33,1588.38,1392.02,14.62,21.61,553.92,2388.05,9057.19,1.3,47.49,521.97,2388.08,8144.88,8.4009,0.03,391,2388,100.0,38.95,23.3082,86
7,232,-0.002,-0.0001,100.0,518.67,643.48,1596.72,1412.12,14.62,21.61,552.42,2388.21,9076.22,1.3,47.92,520.45,2388.19,8152.96,8.4756,0.03,396,2388,100.0,38.58,23.0741,27
12,17,-0.0008,-0.0004,100.0,518.67,642.62,1590.64,1409.69,14.62,21.61,553.95,2388.11,9045.23,1.3,47.49,521.49,2388.13,8125.47,8.4058,0.03,393,2388,100.0,38.94,23.3341,153
30,73,0.0021,-0.0002,100.0,518.67,642.17,1584.59,1401.3,14.62,21.61,554.4,2387.99,9052.57,1.3,47.32,522.85,2387.97,8142.62,8.3778,0.03,393,2388,100.0,39.01,23.4059,121
76,91,0.004,-0.0001,100.0,518.67,643.12,1593.62,1413.26,14.62,21.61,553.0,2388.17,9052.53,1.3,47.6,520.8,2388.17,8127.59,8.4238,0.03,392,2388,100.0,38.65,23.203,119
84,168,-0.0001,-0.0004,100.0,518.67,643.12,1594.93,1420.13,14.62,21.61,552.79,2388.13,9057.27,1.3,47.66,520.65,2388.12,8135.22,8.4651,0.03,396,2388,100.0,38.75,23.1927,99
90,32,-0.0011,0.0001,100.0,518.67,641.62,1588.54,1397.03,14.62,21.61,554.8,2388.02,9053.34,1.3,47.3,522.42,2388.02,8138.4,8.4365,0.03,392,2388,100.0,38.98,23.3424,122
66,84,-0.0008,-0.0004,100.0,518.67,642.85,1588.81,1405.82,14.62,21.61,552.79,2388.1,9064.7,1.3,47.63,521.19,2388.17,8139.6,8.4846,0.03,394,2388,100.0,38.69,23.2592,118
90,10,0.0003,0.0005,100.0,518.67,642.21,1584.76,1391.16,14.62,21.61,553.88,2388.0,9060.54,1.3,47.08,522.19,2388.05,8144.05,8.3768,0.03,391,2388,100.0,38.96,23.3228,144
6,175,0.0017,0.0003,100.0,518.67,643.84,1602.72,1427.35,14.62,21.61,551.53,2388.32,9035.16,1.3,48.17,520.12,2388.27,8109.68,8.5266,0.03,396,2388,100.0,38.64,23.1005,13
41,158,-0.0038,0.0002,100.0,518.67,642.32,1592.73,1413.18,14.62,21.61,553.81,2388.08,9082.98,1.3,47.55,521.3,2388.12,8165.81,8.4456,0.03,393,2388,100.0,38.75,23.2287,58
80,126,-0.005,-0.0001,100.0,518.67,643.23,1592.89,1409.73,14.62,21.61,552.37,2388.11,9076.71,1.3,47.67,520.85,2388.08,8153.08,8.445,0.03,395,2388,100.0,38.77,23.3328,59
79,129,0.0005,-0.0001,100.0,518.67,642.37,1585.87,1403.0,14.62,21.61,553.87,2388.0,9063.58,1.3,47.35,522.14,2388.07,8148.22,8.3991,0.03,393,2388,100.0,38.86,23.2966,70
